lang_a,lang_b,clcs
ar,bg,0.7214428857715431
ar,bs,0.7635270541082164
ar,cs,0.7695390781563126
ar,da,0.7555110220440882
ar,de,0.7955911823647295
ar,el,0.7214428857715431
ar,en,0.781563126252505
ar,es,0.779559118236473
ar,fi,0.7575150300601202
ar,fr,0.7715430861723447
ar,he,0.7474949899799599
ar,hi,0.7454909819639278
ar,hr,0.781563126252505
ar,hu,0.7695390781563126
ar,id,0.7775551102204409
ar,it,0.7595190380761523
ar,lv,0.7575150300601202
ar,nl,0.7615230460921844
ar,pl,0.7715430861723447
ar,pt,0.7915831663326653
ar,ro,0.7775551102204409
ar,ru,0.7775551102204409
ar,sl,0.7434869739478958
ar,sr,0.7655310621242485
ar,sv,0.7474949899799599
ar,uk,0.7354709418837675
ar,zh,0.7915831663326653
bg,bs,0.7074148296593187
bg,cs,0.7114228456913828
bg,da,0.7154308617234469
bg,de,0.7274549098196392
bg,el,0.6933867735470942
bg,en,0.751503006012024
bg,es,0.7374749498997996
bg,fi,0.7254509018036072
bg,fr,0.7314629258517034
bg,he,0.687374749498998
bg,hi,0.6833667334669339
bg,hr,0.7274549098196392
bg,hu,0.7294589178356713
bg,id,0.717434869739479
bg,it,0.749498997995992
bg,lv,0.7194388777555111
bg,nl,0.7474949899799599
bg,pl,0.7454909819639278
bg,pt,0.7314629258517034
bg,ro,0.7214428857715431
bg,ru,0.7334669338677354
bg,sl,0.7214428857715431
bg,sr,0.6953907815631263
bg,sv,0.7314629258517034
bg,uk,0.6993987975951904
bg,zh,0.6973947895791583
bs,cs,0.7735470941883767
bs,da,0.7755511022044088
bs,de,0.7474949899799599
bs,el,0.7334669338677354
bs,en,0.781563126252505
bs,es,0.7875751503006012
bs,fi,0.7735470941883767
bs,fr,0.7675350701402806
bs,he,0.7354709418837675
bs,hi,0.7394789579158316
bs,hr,0.8657314629258517
bs,hu,0.7595190380761523
bs,id,0.7675350701402806
bs,it,0.7715430861723447
bs,lv,0.7474949899799599
bs,nl,0.7835671342685371
bs,pl,0.7975951903807615
bs,pt,0.7695390781563126
bs,ro,0.7855711422845691
bs,ru,0.8016032064128257
bs,sl,0.8096192384769539
bs,sr,0.7935871743486974
bs,sv,0.7675350701402806
bs,uk,0.7635270541082164
bs,zh,0.7575150300601202
cs,da,0.8196392785571143
cs,de,0.8236472945891784
cs,el,0.781563126252505
cs,en,0.845691382765531
cs,es,0.8216432865731463
cs,fi,0.7875751503006012
cs,fr,0.8096192384769539
cs,he,0.7675350701402806
cs,hi,0.7294589178356713
cs,hr,0.8316633266533067
cs,hu,0.8096192384769539
cs,id,0.8016032064128257
cs,it,0.8156312625250501
cs,lv,0.781563126252505
cs,nl,0.8316633266533067
cs,pl,0.8476953907815631
cs,pt,0.8156312625250501
cs,ro,0.8316633266533067
cs,ru,0.7895791583166333
cs,sl,0.7975951903807615
cs,sr,0.7695390781563126
cs,sv,0.8096192384769539
cs,uk,0.7875751503006012
cs,zh,0.8136272545090181
da,de,0.8416833667334669
da,el,0.7935871743486974
da,en,0.8817635270541082
da,es,0.8657314629258517
da,fi,0.8356713426853707
da,fr,0.8256513026052105
da,he,0.7975951903807615
da,hi,0.7775551102204409
da,hr,0.843687374749499
da,hu,0.8476953907815631
da,id,0.8336673346693386
da,it,0.8557114228456913
da,lv,0.8056112224448898
da,nl,0.8857715430861723
da,pl,0.8496993987975952
da,pt,0.8597194388777555
da,ro,0.8276553106212425
da,ru,0.8336673346693386
da,sl,0.8056112224448898
da,sr,0.7655310621242485
da,sv,0.87374749498998
da,uk,0.7755511022044088
da,zh,0.8156312625250501
de,el,0.7915831663326653
de,en,0.8517034068136272
de,es,0.8336673346693386
de,fi,0.811623246492986
de,fr,0.8476953907815631
de,he,0.7895791583166333
de,hi,0.7655310621242485
de,hr,0.8136272545090181
de,hu,0.845691382765531
de,id,0.8016032064128257
de,it,0.8517034068136272
de,lv,0.7995991983967936
de,nl,0.8476953907815631
de,pl,0.8176352705410822
de,pt,0.843687374749499
de,ro,0.8296593186372746
de,ru,0.8256513026052105
de,sl,0.7975951903807615
de,sr,0.7635270541082164
de,sv,0.8336673346693386
de,uk,0.7875751503006012
de,zh,0.8176352705410822
el,en,0.8216432865731463
el,es,0.7995991983967936
el,fi,0.7755511022044088
el,fr,0.7975951903807615
el,he,0.7555110220440882
el,hi,0.7154308617234469
el,hr,0.7635270541082164
el,hu,0.8016032064128257
el,id,0.7835671342685371
el,it,0.7955911823647295
el,lv,0.7735470941883767
el,nl,0.7895791583166333
el,pl,0.7975951903807615
el,pt,0.7935871743486974
el,ro,0.7875751503006012
el,ru,0.7775551102204409
el,sl,0.7615230460921844
el,sr,0.7294589178356713
el,sv,0.7855711422845691
el,uk,0.7595190380761523
el,zh,0.7535070140280561
en,es,0.8496993987975952
en,fi,0.8376753507014028
en,fr,0.8597194388777555
en,he,0.8056112224448898
en,hi,0.7695390781563126
en,hr,0.8496993987975952
en,hu,0.8396793587174348
en,id,0.8276553106212425
en,it,0.8837675350701403
en,lv,0.8196392785571143
en,nl,0.875751503006012
en,pl,0.8637274549098196
en,pt,0.87374749498998
en,ro,0.8537074148296593
en,ru,0.8496993987975952
en,sl,0.8236472945891784
en,sr,0.7655310621242485
en,sv,0.8657314629258517
en,uk,0.7875751503006012
en,zh,0.8156312625250501
es,fi,0.8356713426853707
es,fr,0.8416833667334669
es,he,0.7935871743486974
es,hi,0.7535070140280561
es,hr,0.8356713426853707
es,hu,0.8296593186372746
es,id,0.8076152304609219
es,it,0.8677354709418837
es,lv,0.8056112224448898
es,nl,0.8496993987975952
es,pl,0.8416833667334669
es,pt,0.8697394789579158
es,ro,0.843687374749499
es,ru,0.8276553106212425
es,sl,0.8236472945891784
es,sr,0.781563126252505
es,sv,0.8296593186372746
es,uk,0.7835671342685371
es,zh,0.8216432865731463
fi,fr,0.811623246492986
fi,he,0.7855711422845691
fi,hi,0.7535070140280561
fi,hr,0.8136272545090181
fi,hu,0.8176352705410822
fi,id,0.7935871743486974
fi,it,0.8236472945891784
fi,lv,0.7995991983967936
fi,nl,0.8236472945891784
fi,pl,0.8296593186372746
fi,pt,0.8376753507014028
fi,ro,0.8136272545090181
fi,ru,0.8256513026052105
fi,sl,0.8016032064128257
fi,sr,0.7695390781563126
fi,sv,0.8296593186372746
fi,uk,0.7615230460921844
fi,zh,0.7855711422845691
fr,he,0.7755511022044088
fr,hi,0.7414829659318637
fr,hr,0.8276553106212425
fr,hu,0.7915831663326653
fr,id,0.8036072144288577
fr,it,0.8496993987975952
fr,lv,0.7835671342685371
fr,nl,0.8256513026052105
fr,pl,0.8296593186372746
fr,pt,0.8517034068136272
fr,ro,0.8196392785571143
fr,ru,0.8276553106212425
fr,sl,0.7995991983967936
fr,sr,0.7775551102204409
fr,sv,0.8136272545090181
fr,uk,0.7835671342685371
fr,zh,0.7995991983967936
he,hi,0.7374749498997996
he,hr,0.7735470941883767
he,hu,0.811623246492986
he,id,0.7875751503006012
he,it,0.7895791583166333
he,lv,0.7715430861723447
he,nl,0.8096192384769539
he,pl,0.7695390781563126
he,pt,0.7875751503006012
he,ro,0.7635270541082164
he,ru,0.781563126252505
he,sl,0.7615230460921844
he,sr,0.7414829659318637
he,sv,0.781563126252505
he,uk,0.7555110220440882
he,zh,0.7695390781563126
hi,hr,0.7655310621242485
hi,hu,0.7535070140280561
hi,id,0.7735470941883767
hi,it,0.7535070140280561
hi,lv,0.7274549098196392
hi,nl,0.7895791583166333
hi,pl,0.7354709418837675
hi,pt,0.7735470941883767
hi,ro,0.7615230460921844
hi,ru,0.7535070140280561
hi,sl,0.7334669338677354
hi,sr,0.7294589178356713
hi,sv,0.7454909819639278
hi,uk,0.7194388777555111
hi,zh,0.7254509018036072
hr,hu,0.811623246492986
hr,id,0.7995991983967936
hr,it,0.8276553106212425
hr,lv,0.7995991983967936
hr,nl,0.843687374749499
hr,pl,0.8517034068136272
hr,pt,0.8136272545090181
hr,ro,0.8236472945891784
hr,ru,0.8316633266533067
hr,sl,0.8597194388777555
hr,sr,0.8356713426853707
hr,sv,0.8316633266533067
hr,uk,0.7975951903807615
hr,zh,0.8036072144288577
hu,id,0.8056112224448898
hu,it,0.8276553106212425
hu,lv,0.8036072144288577
hu,nl,0.8537074148296593
hu,pl,0.8176352705410822
hu,pt,0.8216432865731463
hu,ro,0.8196392785571143
hu,ru,0.8216432865731463
hu,sl,0.7995991983967936
hu,sr,0.779559118236473
hu,sv,0.8336673346693386
hu,uk,0.7735470941883767
hu,zh,0.781563126252505
id,it,0.8176352705410822
id,lv,0.7675350701402806
id,nl,0.8336673346693386
id,pl,0.8016032064128257
id,pt,0.8176352705410822
id,ro,0.8196392785571143
id,ru,0.8196392785571143
id,sl,0.7655310621242485
id,sr,0.751503006012024
id,sv,0.8076152304609219
id,uk,0.7835671342685371
id,zh,0.8016032064128257
it,lv,0.8176352705410822
it,nl,0.8557114228456913
it,pl,0.8316633266533067
it,pt,0.8537074148296593
it,ro,0.8396793587174348
it,ru,0.8476953907815631
it,sl,0.8056112224448898
it,sr,0.7735470941883767
it,sv,0.8517034068136272
it,uk,0.8056112224448898
it,zh,0.8156312625250501
lv,nl,0.7975951903807615
lv,pl,0.8356713426853707
lv,pt,0.7935871743486974
lv,ro,0.779559118236473
lv,ru,0.7955911823647295
lv,sl,0.7775551102204409
lv,sr,0.7474949899799599
lv,sv,0.7875751503006012
lv,uk,0.7454909819639278
lv,zh,0.7855711422845691
nl,pl,0.8356713426853707
nl,pt,0.8517034068136272
nl,ro,0.8416833667334669
nl,ru,0.8476953907815631
nl,sl,0.8056112224448898
nl,sr,0.779559118236473
nl,sv,0.8677354709418837
nl,uk,0.781563126252505
nl,zh,0.8076152304609219
pl,pt,0.8396793587174348
pl,ro,0.8256513026052105
pl,ru,0.8296593186372746
pl,sl,0.8496993987975952
pl,sr,0.7935871743486974
pl,sv,0.8476953907815631
pl,uk,0.7975951903807615
pl,zh,0.8156312625250501
pt,ro,0.8376753507014028
pt,ru,0.8296593186372746
pt,sl,0.7915831663326653
pt,sr,0.7775551102204409
pt,sv,0.8236472945891784
pt,uk,0.7695390781563126
pt,zh,0.8136272545090181
ro,ru,0.8216432865731463
ro,sl,0.7915831663326653
ro,sr,0.7675350701402806
ro,sv,0.8256513026052105
ro,uk,0.781563126252505
ro,zh,0.8076152304609219
ru,sl,0.8016032064128257
ru,sr,0.8136272545090181
ru,sv,0.8196392785571143
ru,uk,0.7955911823647295
ru,zh,0.8016032064128257
sl,sr,0.7915831663326653
sl,sv,0.8096192384769539
sl,uk,0.7695390781563126
sl,zh,0.7655310621242485
sr,sv,0.7675350701402806
sr,uk,0.7474949899799599
sr,zh,0.751503006012024
sv,uk,0.7835671342685371
sv,zh,0.7755511022044088
uk,zh,0.7735470941883767
